rating,global_ranking,contest_count,avg_ranking,username,country
3702.788,1,26,78.73,fjzzq2002,Unknown
3686.191,2,51,11.67,neal_wu,United States
3644.841,3,84,114.94,Yawn_Sean,Unknown
3611.476,4,107,675.59,ahmed007boss,China
3599.473,5,146,32.77,liming-v,China
3589.337,6,100,80.8,numb3r5,Australia
3559.136681812592,7,81,26.32,getnaukri,China
3539.254,8,131,80.24,Allink,China
3513.227,9,96,42.96,jonathanirvings,Singapore
3506.396,10,88,188.4,PurpleCrayon,Unknown
3499.5468133734294,11,61,143.89,hankray,China
3491.947685601129,12,287,28.04,zhoupeiyun,China
3490.399929174775,13,435,28.76,uwi,Japan
3483.996,14,58,371.31,dnialh,Unknown
3471.487289120698,15,254,119.02,Carefreejs,China
3465.9395323734766,16,30,94.23,HazemAllaham,China
3453.15,17,65,100.89,fmota,Brazil
3443.203,18,40,44.05,pandaforever,Unknown
3425.997,19,52,68.1,xiaowuc1,United States
3420.064807037784,20,241,54.24,cbesalke,China
3416.8420075237727,21,285,39.85,LayCurse,Japan
3406.361,22,39,13.08,Nahin_Imtiaz,China
3401.816,23,82,279.73,qeetcode,United States
3388.898,24,73,300.1,Shandse40,China
3365.111,25,24,60.33,wwwwodddd,Hong Kong
3357.485,26,121,164.1,TheWander,China
3353.933,27,60,162.93,_kevinyang,Canada
3344.044,28,183,70.73,emthrm,Japan
3343.379,29,250,145.03,MisterSoandSo,China
3328.122844128604,30,128,89.97,nek23,China
3324.107,31,30,243.57,dong_liu,Unknown
3323.774090494792,32,178,240.57,Kude,Japan
3322.758173751024,33,233,110.02,hank55663,Taiwan
3322.255,34,101,148.41,penguinhacker,Unknown
3321.355,35,201,331.43,zeusmx,China
3320.449,36,28,60.75,thenymphsofdelphi,Vietnam
3313.144,37,108,1196.36,usephysics,United States
3312.286,38,31,28.0,tmwilliamlin168,Taiwan
3299.177,39,63,153.84,physics0523,Japan
3299.08342635828,40,95,208.75,user8991p,China
3288.252878338263,41,321,327.45,DylanSmith,United States
3274.685,42,27,75.52,satyajeetramnit2708,China
3271.938,43,100,138.13,bucker,China
3266.122379466448,44,32,89.59,mohfadhil,China
3265.907,45,249,38.24,natsugiri,Japan
3259.713798853988,46,42,47.1,waakaaka,United States
3253.248,47,56,103.54,manohar.morthala,China
3246.403,48,62,531.66,tabr,Japan
3242.2504358995225,49,180,216.44,yeongmoj94,China
3237.564,50,90,45.64,hitonanode,Japan
3225.4561630692333,51,33,98.82,user9068ZB,China
3224.907,52,29,110.38,bucketpotato,United States
3222.663,53,139,282.5,Aging,China
3217.72,54,78,106.04,rfpermen,Indonesia
3212.0372236719954,55,126,99.12,AntonRaichuk,Ukraine
3208.421651097493,56,115,511.95,ethanrao,Canada
3205.7186512673547,57,69,228.14,xborui,China
3204.438388180618,58,66,83.42,xy12138,China
3200.465,59,46,73.67,kirika-comp,Japan
3199.485,60,19,52.26,0suoicsnocbus,United States
3198.6053360039214,61,203,59.3,lympanda,Unknown
3194.901,62,32,122.59,karate,China
3193.409,63,97,51.64,dreamoon,Taiwan
3192.7024219753944,64,65,202.6,queerAsfolk,China
3190.817,65,25,168.36,plasmatic,Canada
3179.936,66,32,54.41,bilyhurington,United States
3175.1857548074604,67,127,111.23,sheepforever,Unknown
3172.89,68,31,82.55,skpeng,China
3167.005,69,18,121.44,tarek,China
3163.808,70,83,73.92,Poojash18,China
3162.558726573141,71,55,93.24,arignote,Unknown
3161.791128608204,72,76,364.78,green_pig,Unknown
3160.527,73,123,431.28,MichaelPengDeveloper,China
3158.803,74,79,158.65,flashmt,Vietnam
3158.2717621388656,75,186,90.09,hunt67241,China
3152.792,76,45,146.6,gdkat,China
3147.695,77,127,129.2,klion26,China
3141.094,78,9,24.44,pathetic-dog,India
3139.6825661078765,79,247,120.54,Ma_Lin,Unknown
3132.771,80,101,198.26,lachy_136,China
3130.3701251085067,81,157,83.43,cmagnemi,China
3129.972,82,23,132.65,mayur0055,China
3127.495,83,52,353.65,vince1114,China
3126.75,84,27,76.22,smax,Unknown
3125.032938054419,85,28,147.71,kaikaikaikaikai,Kazakhstan
3124.026,86,148,298.89,369488685,China
3120.757576705368,87,343,49.34,doooo,China
3115.105815712118,88,152,285.92,stany,China
3114.46,89,16,81.88,shyamjha12,China
3113.218,90,8,17.38,moransky,Hong Kong
3112.070798859508,91,78,184.59,sqqqqqq,China
3109.803,92,64,233.69,friedall,Hong Kong
3107.668,93,31,65.26,theone7,China
3105.171408426144,94,339,171.35,tiankonguse001,China
3104.0517255618247,95,175,1528.51,danielchandg,United States
3103.591,96,139,1072.99,R3mix,United States
3100.278439309714,97,194,92.49,skywalkert,China
3093.692,98,231,134.0,cai_lw,United States
3093.6476224904977,99,329,153.83,kmjp,Unknown
3091.155,100,30,90.57,youtube_aryanc403,India
