Array,28
Matrix,4
Simulation,3
Dynamic Programming,8
Binary Search,5
Depth-First Search,5
Breadth-First Search,4
Graph,3
Shortest Path,2
Two Pointers,2
Stack,2
Segment Tree,4
Queue,1
Monotonic Stack,1
Monotonic Queue,1
Math,9
Sliding Window,2
Enumeration,7
Number Theory,3
Hash Table,10
String,6
Greedy,3
Sorting,6
Prefix Sum,2
String Matching,1
Design,1
Heap (Priority Queue),2
Ordered Set,1
Combinatorics,2
Bit Manipulation,3
Counting,2
Binary Indexed Tree,2
Geometry,2
Backtracking,1
Bitmask,1
Union Find,1
Tree,2
